Time (s),Temperature (C),Cooling Power (W)
189.0,15.193962061629216,100.0
190.0,15.142842665423053,100.0
191.0,15.09172838115651,100.0
192.0,15.040619208318395,100.0
193.0,14.989515146397563,100.0
194.0,14.938416194882924,100.0
195.0,14.887322353263436,100.0
196.0,14.836233621028109,100.0
197.0,14.785149997666005,100.0
198.0,14.73407148266624,100.0
199.0,14.682998075517974,100.0
200.0,14.631929775710422,100.0
201.0,14.58086658273285,100.0
202.0,14.529808496074578,100.0
203.0,14.47875551522497,100.0
204.0,14.427707639673446,100.0
205.0,14.37666486890948,100.0
206.0,14.325627202422588,100.0
207.0,14.274594639702345,100.0
208.0,14.223567180238375,100.0
209.0,14.17254482352035,100.0
210.0,14.121527569038,100.0
211.0,14.070515416281095,100.0
212.0,14.019508364739467,100.0
213.0,13.968506413902993,100.0
214.0,13.917509563261603,100.0
215.0,13.866517812305277,100.0
216.0,13.815531160524047,100.0
217.0,13.764549607407995,100.0
218.0,13.713573152447253,100.0
219.0,13.662601795132009,100.0
220.0,13.611635534952496,100.0
221.0,13.560674371399001,100.0
222.0,13.509718303961861,100.0
223.0,13.458767332131465,100.0
224.0,13.407821455398253,100.0
225.0,13.356880673252713,100.0
226.0,13.305944985185388,100.0
227.0,13.255014390686869,100.0
228.0,13.2040888892478,100.0
229.0,13.153168480358875,100.0
230.0,13.10225316351084,100.0
231.0,13.05134293819449,100.0
232.0,13.00043780390067,100.0
233.0,12.94953776012028,100.0
234.0,12.898642806344268,100.0
235.0,12.847752942063634,100.0
236.0,12.796868166769428,100.0
237.0,12.745988479952752,100.0
238.0,12.695113881104756,100.0
239.0,12.644244369716645,100.0
240.0,12.593379945279674,100.0
241.0,12.542520607285146,100.0
242.0,12.491666355224417,100.0
243.0,12.440817188588895,100.0
244.0,12.389973106870036,100.0
245.0,12.33913410955935,100.0
246.0,12.288300196148393,100.0
247.0,12.237471366128778,100.0
248.0,12.186647618992165,100.0
249.0,12.135828954230266,100.0
250.0,12.085015371334844,100.0
251.0,12.03420686979771,100.0
252.0,11.98340344911073,100.0
253.0,11.932605108765818,100.0
254.0,11.88181184825494,100.0
255.0,11.831023667070115,100.0
256.0,11.780240564703409,100.0
257.0,11.729462540646939,100.0
258.0,11.678689594392875,100.0
259.0,11.627921725433435,100.0
260.0,11.577158933260892,100.0
261.0,11.526401217367566,100.0
262.0,11.47564857724583,100.0
263.0,11.424901012388105,100.0
264.0,11.374158522286866,100.0
265.0,11.323421106434637,100.0
266.0,11.272688764323993,100.0
267.0,11.22196149544756,100.0
268.0,11.171239299298016,100.0
269.0,11.120522175368086,100.0
270.0,11.06981012315055,100.0
271.0,11.019103142138235,100.0
272.0,10.968401231824021,100.0
273.0,10.91770439170084,100.0
274.0,10.867012621261669,100.0
275.0,10.816325919999542,100.0
276.0,10.765644287407543,100.0
277.0,10.714967722978802,100.0
278.0,10.664296226206504,100.0
279.0,10.613629796583885,100.0
280.0,10.562968433604226,100.0
281.0,10.512312136760865,100.0
282.0,10.46166090554719,100.0
283.0,10.411014739456634,100.0
284.0,10.360373637982688,100.0
285.0,10.30973760061889,100.0
286.0,10.259106626858827,100.0
287.0,10.20848071619614,100.0
288.0,10.15785986812452,100.0
289.0,10.107244082137708,100.0
290.0,10.056633357729494,100.0
291.0,10.00602769439372,100.0
292.0,9.955427091624282,100.0
293.0,9.90483154891512,100.0
294.0,9.854241065760228,100.0
295.0,9.803655641653652,100.0
296.0,9.753075276089486,100.0
297.0,9.702499968561877,100.0
298.0,9.651929718565022,100.0
299.0,9.601364525593166,100.0
300.0,9.550804389140607,100.0
301.0,9.500249308701694,100.0
302.0,9.449699283770823,100.0
303.0,9.399154313842446,100.0
304.0,9.348614398411062,100.0
305.0,9.29807953697122,100.0
306.0,9.247549729017523,100.0
307.0,9.197024974044622,100.0
308.0,9.146505271547218,100.0
309.0,9.095990621020063,100.0
310.0,9.045481021957961,100.0
311.0,8.994976473855765,100.0
312.0,8.94447697620838,100.0
313.0,8.893982528510758,100.0
314.0,8.843493130257906,100.0
315.0,8.79300878094488,100.0
316.0,8.742529480066786,100.0
317.0,8.692055227118779,100.0
318.0,8.641586021596067,100.0
319.0,8.591121862993909,100.0
320.0,8.54066275080761,100.0
321.0,8.490208684532528,100.0
322.0,8.439759663664073,100.0
323.0,8.389315687697707,100.0
324.0,8.338876756128936,100.0
325.0,8.288442868453323,100.0
326.0,8.238014024166478,100.0
327.0,8.187590222764062,100.0
328.0,8.137171463741785,100.0
329.0,8.08675774659541,100.0
330.0,8.03634907082075,100.0
331.0,7.985945435913668,100.0
332.0,7.935546841370076,100.0
333.0,7.885153286685939,100.0
334.0,7.83476477135727,100.0
335.0,7.784381294880134,100.0
336.0,7.734002856750647,100.0
337.0,7.683629456464971,100.0
338.0,7.633261093519325,100.0
339.0,7.582897767409973,100.0
340.0,7.5325394776332315,100.0
341.0,7.482186223685468,100.0
342.0,7.431838005063099,100.0
343.0,7.381494821262593,100.0
344.0,7.331156671780467,100.0
345.0,7.280823556113289,100.0
346.0,7.230495473757677,100.0
347.0,7.180172424210301,100.0
348.0,7.129854406967881,100.0
349.0,7.079541421527184,100.0
350.0,7.029233467385031,100.0
351.0,6.978930544038292,100.0
352.0,6.928632650983888,100.0
353.0,6.878339787718789,100.0
354.0,6.828051953740017,100.0
355.0,6.777769148544643,100.0
356.0,6.727491371629789,100.0
357.0,6.677218622492626,100.0
358.0,6.626950900630377,100.0
359.0,6.576688205540314,100.0
360.0,6.526430536719761,100.0
361.0,6.4761778936660885,100.0
362.0,6.425930275876722,100.0
363.0,6.375687682849134,100.0
364.0,6.325450114080849,100.0
365.0,6.275217569069441,100.0
366.0,6.224990047312534,100.0
367.0,6.174767548307803,100.0
368.0,6.124550071552972,100.0
369.0,6.074337616545816,100.0
370.0,6.024130182784162,100.0
371.0,5.973927769765883,100.0
372.0,5.923730376988906,100.0
373.0,5.873538003951207,100.0
374.0,5.823350650150812,100.0
375.0,5.773168315085797,100.0
376.0,5.722990998254288,100.0
377.0,5.672818699154463,100.0
378.0,5.622651417284548,100.0
379.0,5.572489152142819,100.0
380.0,5.522331903227605,100.0
381.0,5.472179670037282,100.0
382.0,5.422032452070279,100.0
383.0,5.371890248825071,100.0
384.0,5.321753059800189,100.0
385.0,5.271620884494209,100.0
386.0,5.22149372240576,100.0
387.0,5.171371573033519,100.0
388.0,5.1212544358762155,100.0
389.0,5.071142310432628,100.0
390.0,5.021035196201585,100.0
391.0,4.970933092681965,100.0
392.0,4.920835999372697,100.0
393.0,4.87074391577276,100.0
394.0,4.820656841381183,100.0
395.0,4.770574775697045,100.0
396.0,4.720497718219476,100.0
397.0,4.6704256684476535,100.0
398.0,4.620358625880809,100.0
399.0,4.570296590018221,100.0
400.0,4.520239560359219,100.0
401.0,4.4701875364031824,100.0
402.0,4.420140517649542,100.0
403.0,4.370098503597777,100.0
404.0,4.320061493747417,100.0
405.0,4.270029487598042,100.0
406.0,4.2200024846492825,100.0
407.0,4.169980484400818,100.0
408.0,4.119963486352378,100.0
409.0,4.069951490003743,100.0
410.0,4.019944494854743,100.0
411.0,3.9699425004052573,100.0
412.0,3.9199455061552166,100.0
413.0,3.869953511604601,100.0
414.0,3.819966516253441,100.0
415.0,3.7699845196018154,100.0
416.0,3.720007521149855,100.0
417.0,3.67003552039774,100.0
418.0,3.6200685168457003,100.0
419.0,3.570106509994016,100.0
420.0,3.5201494993430167,100.0
421.0,3.4701974843930823,100.0
422.0,3.420250464644643,100.0
423.0,3.3703084395981784,100.0
424.0,3.3203714087542187,100.0
425.0,3.2704393716133433,100.0
426.0,3.220512327676182,100.0
427.0,3.170590276443414,100.0
428.0,3.12067321741577,100.0
429.0,3.0707611500940284,100.0
430.0,3.020854073979019,100.0
431.0,2.970951988571621,100.0
432.0,2.9210548933727636,100.0
433.0,2.8711627878834265,100.0
434.0,2.821275671604638,100.0
435.0,2.7713935440374775,100.0
436.0,2.721516404683074,100.0
437.0,2.6716442530426057,100.0
438.0,2.6217770886173013,100.0
439.0,2.5719149109084394,100.0
440.0,2.5220577194173486,100.0
441.0,2.472205513645407,100.0
442.0,2.4223582930940424,100.0
443.0,2.372516057264733,100.0
444.0,2.3226788056590064,100.0
445.0,2.2728465377784404,100.0
446.0,2.2230192531246624,100.0
447.0,2.17319695119935,100.0
448.0,2.12337963150423,100.0
449.0,2.0735672935410796,100.0
450.0,2.0237599368117256,100.0
451.0,1.9739575608180444,100.0
452.0,1.9241601650619626,100.0
453.0,1.8743677490454564,100.0
454.0,1.824580312270552,100.0
455.0,1.7747978542393248,100.0
456.0,1.7250203744539008,100.0
457.0,1.6752478724164555,100.0
458.0,1.625480347629214,100.0
459.0,1.575717799594451,100.0
460.0,1.5259602278144915,100.0
461.0,1.47620763179171,100.0
462.0,1.426460011028531,100.0
463.0,1.3767173650274283,100.0
464.0,1.3269796932909255,100.0
465.0,1.2772469953215964,100.0
466.0,1.2275192706220641,100.0
467.0,1.177796518695002,100.0
468.0,1.1280787390431324,100.0
469.0,1.0783659311692282,100.0
470.0,1.0286580945761112,100.0
471.0,0.9789552287666536,100.0
472.0,0.929257333243777,100.0
473.0,0.8795644075104526,100.0
474.0,0.8298764510697015,100.0
475.0,0.7801934634245946,100.0
476.0,0.7305154440782522,100.0
477.0,0.6808423925338444,100.0
478.0,0.631174308294591,100.0
479.0,0.5815111908637616,100.0
480.0,0.5318530397446752,100.0
481.0,0.4821998544407008,100.0
482.0,0.43255163445525674,100.0
483.0,0.3829083792918112,100.0
484.0,0.333270088453882,100.0
485.0,0.28363676144503663,100.0
486.0,0.23400839776889212,100.0
487.0,0.18438499692911522,100.0
488.0,0.1347665584294223,100.0
489.0,0.08515308177357936,100.0
490.0,0.035544566465402,100.0
491.0,-0.01405898799124454,100.0
492.0,-0.06365758209244542,100.0
493.0,-0.11325121633423617,100.0
494.0,-0.16283989121260273,100.0
495.0,-0.21242360722348147,100.0
496.0,-0.26200236486275913,100.0
497.0,-0.31157616462627286,100.0
498.0,-0.3611450070098102,100.0
499.0,-0.41070889250910925,100.0
500.0,-0.46026782161985835,100.0
501.0,-0.5098217948376964,100.0
502.0,-0.5593708126582126,100.0
503.0,-0.6089148755769468,100.0
504.0,-0.658453984089389,100.0
505.0,-0.7079881386909801,100.0
506.0,-0.757517339877111,100.0
507.0,-0.8070415881431233,100.0
508.0,-0.856560883984309,100.0
509.0,-0.9060752278959106,100.0
510.0,-0.955584620373121,100.0
511.0,-1.0050890619110837,100.0
512.0,-1.0545885530048926,100.0
513.0,-1.104083094149592,100.0
514.0,-1.1535726858401771,100.0
515.0,-1.203057328571593,100.0
516.0,-1.252537022838736,100.0
517.0,-1.3020117691364521,100.0
518.0,-1.3514815679595384,100.0
519.0,-1.4009464198027426,100.0
520.0,-1.4504063251607624,100.0
521.0,-1.4998612845282464,100.0
522.0,-1.5493112983997936,100.0
523.0,-1.5987563672699536,100.0
524.0,-1.6481964916332266,100.0
525.0,-1.6976316719840632,100.0
526.0,-1.7470619088168649,100.0
527.0,-1.7964872026259833,100.0
528.0,-1.8459075539057206,100.0
529.0,-1.89532296315033,100.0
530.0,-1.9447334308540152,100.0
531.0,-1.9941389575109298,100.0
532.0,-2.0435395436151786,100.0
533.0,-2.092935189660817,100.0
534.0,-2.142325896141851,100.0
535.0,-2.191711663552237,100.0
536.0,-2.2410924923858815,100.0
537.0,-2.290468383136643,100.0
538.0,-2.339839336298329,100.0
539.0,-2.389205352364699,100.0
540.0,-2.4385664318294626,100.0
541.0,-2.4879225751862797,100.0
542.0,-2.5372737829287613,100.0
543.0,-2.5866200555504686,100.0
544.0,-2.6359613935449135,100.0
545.0,-2.685297797405559,100.0
546.0,-2.734629267625819,100.0
547.0,-2.7839558046990565,100.0
548.0,-2.8332774091185864,100.0
549.0,-2.8825940813776745,100.0
550.0,-2.931905821969537,100.0
551.0,-2.98121263138734,100.0
552.0,-3.0305145101242013,100.0
553.0,-3.0798114586731886,100.0
554.0,-3.1291034775273214,100.0
555.0,-3.178390567179569,100.0
556.0,-3.227672728122851,100.0
557.0,-3.2769499608500388,100.0
558.0,-3.3262222658539535,100.0
559.0,-3.3754896436273683,100.0
560.0,-3.4247520946630057,100.0
561.0,-3.4740096194535393,100.0
562.0,-3.523262218491594,100.0
563.0,-3.572509892269745,100.0
564.0,-3.621752641280518,100.0
565.0,-3.6709904660163897,100.0
566.0,-3.720223366969788,100.0
567.0,-3.769451344633091,100.0
568.0,-3.8186743994986276,100.0
569.0,-3.867892532058678,100.0
570.0,-3.917105742805472,100.0
571.0,-3.9663140322311916,100.0
572.0,-4.015517400827968,100.0
573.0,-4.064715849087885,100.0
574.0,-4.113909377502976,100.0
575.0,-4.163097986565226,100.0
576.0,-4.212281676766569,100.0
577.0,-4.261460448598893,100.0
578.0,-4.310634302554033,100.0
579.0,-4.359803239123777,100.0
580.0,-4.408967258799865,100.0
581.0,-4.458126362073985,100.0
582.0,-4.507280549437778,100.0
583.0,-4.556429821382834,100.0
584.0,-4.605574178400696,100.0
585.0,-4.6547136209828555,100.0
586.0,-4.703848149620757,100.0
587.0,-4.752977764805795,100.0
588.0,-4.802102467029314,100.0
589.0,-4.851222256782611,100.0
590.0,-4.900337134556933,100.0
591.0,-4.949447100843478,100.0
592.0,-4.998552156133393,100.0
593.0,-5.04765230091778,100.0
594.0,-5.096747535687688,100.0
595.0,-5.145837860934119,100.0
596.0,-5.194923277148026,100.0
597.0,-5.244003784820311,100.0
598.0,-5.293079384441829,100.0
599.0,-5.342150076503385,100.0
600.0,-5.391215861495735,100.0
601.0,-5.440276739909585,100.0
602.0,-5.489332712235594,100.0
603.0,-5.538383778964371,100.0
604.0,-5.587429940586475,100.0
605.0,-5.636471197592416,100.0
606.0,-5.685507550472657,100.0
607.0,-5.73453899971761,100.0
608.0,-5.783565545817638,100.0
609.0,-5.832587189263056,100.0
610.0,-5.88160393054413,100.0
611.0,-5.930615770151076,100.0
612.0,-5.979622708574061,100.0
613.0,-6.028624746303203,100.0
614.0,-6.077621883828573,100.0
615.0,-6.1266141216401895,100.0
616.0,-6.175601460228026,100.0
617.0,-6.224583900082003,100.0
618.0,-6.273561441691995,100.0
619.0,-6.322534085547826,100.0
620.0,-6.371501832139271,100.0
621.0,-6.420464681956057,100.0
622.0,-6.469422635487861,100.0
623.0,-6.518375693224312,100.0
624.0,-6.56732385565499,100.0
625.0,-6.616267123269425,100.0
626.0,-6.665205496557098,100.0
627.0,-6.714138976007442,100.0
628.0,-6.763067562109842,100.0
629.0,-6.811991255353631,100.0
630.0,-6.860910056228096,100.0
631.0,-6.909823965222473,100.0
632.0,-6.958732982825951,100.0
633.0,-7.007637109527669,100.0
634.0,-7.056536345816716,100.0
635.0,-7.105430692182134,100.0
636.0,-7.154320149112916,100.0
637.0,-7.2032047170980045,100.0
638.0,-7.2520843966262944,100.0
639.0,-7.300959188186632,100.0
640.0,-7.349829092267814,100.0
641.0,-7.398694109358587,100.0
642.0,-7.447554239947651,100.0
643.0,-7.496409484523657,100.0
644.0,-7.545259843575204,100.0
645.0,-7.594105317590847,100.0
646.0,-7.6429459070590875,100.0
647.0,-7.6917816124683815,100.0
648.0,-7.740612434307135,100.0
649.0,-7.789438373063704,100.0
650.0,-7.838259429226397,100.0
651.0,-7.887075603283475,100.0
652.0,-7.935886895723146,100.0
653.0,-7.984693307033574,100.0
654.0,-8.03349483770287,100.0
655.0,-8.0822914882191,100.0
656.0,-8.131083259070278,100.0
657.0,-8.179870150744371,100.0
658.0,-8.228652163729297,100.0
659.0,-8.277429298512924,100.0
660.0,-8.326201555583072,100.0
661.0,-8.374968935427514,100.0
662.0,-8.423731438533972,100.0
663.0,-8.472489065390118,100.0
664.0,-8.52124181648358,100.0
665.0,-8.569989692301931,100.0
666.0,-8.618732693332701,100.0
667.0,-8.667470820063368,100.0
668.0,-8.716204072981363,100.0
669.0,-8.764932452574065,100.0
670.0,-8.813655959328807,100.0
671.0,-8.862374593732875,100.0
672.0,-8.911088356273503,100.0
673.0,-8.959797247437875,100.0
674.0,-9.00850126771313,100.0
675.0,-9.05720041758636,100.0
676.0,-9.105894697544601,100.0
677.0,-9.154584108074847,100.0
678.0,-9.20326864966404,100.0
679.0,-9.251948322799073,100.0
680.0,-9.300623127966793,100.0
681.0,-9.349293065653995,100.0
682.0,-9.39795813634743,100.0
683.0,-9.446618340533796,100.0
684.0,-9.495273678699743,100.0
685.0,-9.543924151331872,100.0
686.0,-9.592569758916738,100.0
687.0,-9.641210501940847,100.0
688.0,-9.689846380890653,100.0
689.0,-9.738477396252565,100.0
690.0,-9.78710354851294,100.0
